Ref#,Difficulty,Challenge Name,Solution
#20,Easy,Select All,"SELECT *
FROM CITY;"
#21,Easy,Select By ID,"SELECT *
FROM CITY
WHERE ID = 1661;"
#22,Easy,The Blunder,"SELECT CEIL(AVG(Salary)-AVG(REPLACE(SALARY, 0, '')))
FROM EMPLOYEES;"
#23,Medium,The PADS,"SELECT CONCAT(NAME,'(',LEFT(OCCUPATION,1),')')
FROM OCCUPATIONS
ORDER BY NAME;

SELECT CONCAT('There are a total of ', COUNT(OCCUPATION), ' ', lower(OCCUPATION), 's.')
FROM OCCUPATIONS
GROUP BY OCCUPATION
ORDER BY COUNT(OCCUPATION), OCCUPATION;"
#24,Medium,The Report,"SELECT IF(Grades.Grade < 8, NULL, Students.Name), Grades.Grade, Students.MARKS
FROM Students
JOIN Grades
ON Students.Marks BETWEEN Grades.MIN_MARK AND Grades.MAX_MARK
ORDER BY Grades.Grade DESC, Students.Name, Students.Marks;"
#25,Easy,Top Earners,"SELECT MAX(salary*months), COUNT(*)
FROM EMPLOYEE
WHERE salary*months = (
    SELECT MAX(salary*months)
    FROM EMPLOYEE
    );"
#26,Easy,Type of Triangle,"SELECT 
    CASE
        WHEN A+B<=C OR A+C<=B OR B+C<=A THEN 'Not A Triangle'
        WHEN A=B AND A=C AND B=C THEN 'Equilateral'
        WHEN A=B OR A=C THEN 'Isosceles'
        ELSE 'Scalene'
    END
FROM TRIANGLES;"
#27,Easy,Weather Observation Station 1,"SELECT DISTINCT CITY, STATE
FROM STATION
ORDER BY CITY;"
#28,Easy,Weather Observation Station 2,"SELECT ROUND(SUM(LAT_N),2), ROUND(SUM(LONG_W),2)
FROM STATION"
#29,Easy,Weather Observation Station 3,"SELECT DISTINCT CITY
FROM STATION
WHERE ID%2=0;"
#30,Easy,Weather Observation Station 4,"SELECT COUNT(CITY) - COUNT(DISTINCT CITY)
FROM STATION;"
#31,Easy,Weather Observation Station 5,"SELECT CITY, LENGTH(CITY)
FROM STATION
ORDER BY LENGTH(CITY), CITY
LIMIT 1;
SELECT CITY, LENGTH(CITY)
FROM STATION
ORDER BY LENGTH(CITY) DESC, CITY
LIMIT 1;"
#32,Easy,Weather Observation Station 6,"SELECT DISTINCT CITY
FROM STATION
WHERE LEFT(CITY,1) IN ('a', 'e', 'i', 'o', 'u');"
#33,Easy,Weather Observation Station 7,"SELECT DISTINCT CITY
FROM STATION
WHERE RIGHT(CITY,1) IN ('a', 'e', 'i', 'o', 'u');"
#34,Easy,Weather Observation Station 8,"SELECT DISTINCT CITY
FROM STATION
WHERE LEFT(CITY,1) IN ('a', 'e', 'i', 'o', 'u')
AND RIGHT(CITY,1) IN ('a', 'e', 'i', 'o', 'u');"
#35,Easy,Weather Observation Station 9,"SELECT DISTINCT CITY
FROM STATION
WHERE LEFT(CITY,1) NOT IN ('a', 'e', 'i', 'o', 'u');"
#36,Easy,Weather Observation Station 10,"SELECT DISTINCT CITY
FROM STATION
WHERE RIGHT(CITY,1) NOT IN ('a', 'e', 'i', 'o', 'u');"
#37,Easy,Weather Observation Station 11,"SELECT DISTINCT CITY
FROM STATION
WHERE LEFT(CITY,1) NOT IN ('a', 'e', 'i', 'o', 'u')
OR RIGHT(CITY,1) NOT IN ('a', 'e', 'i', 'o', 'u');"
#38,Easy,Weather Observation Station 12,"SELECT DISTINCT CITY
FROM STATION
WHERE LEFT(CITY,1) NOT IN ('a', 'e', 'i', 'o', 'u')
AND RIGHT(CITY,1) NOT IN ('a', 'e', 'i', 'o', 'u');"
#39,Easy,Weather Observation Station 13,"SELECT ROUND(SUM(LAT_N),4)
FROM STATION
WHERE LAT_N BETWEEN 38.788 AND 137.2345;"
#40,Easy,Weather Observation Station 14,"SELECT ROUND(MAX(LAT_N),4)
FROM STATION
WHERE LAT_N < 137.2345;"
#41,Easy,Weather Observation Station 15,"SELECT ROUND(MAX(LONG_W),4)
FROM STATION
WHERE LAT_N  = (
    SELECT MAX(LAT_N)
    FROM STATION
    WHERE LAT_N < 137.2345
    );"
#42,Easy,Weather Observation Station 16,"SELECT ROUND(MIN(LAT_N),4)
FROM STATION
WHERE LAT_N  > 38.778;"
#43,Easy,Weather Observation Station 17,"SELECT ROUND(LONG_W,4)
FROM STATION
WHERE LAT_N = (
    SELECT MIN(LAT_N)
    FROM STATION
    WHERE LAT_N > 38.778);"
#44,Medium,Weather Observation Station 18,"SELECT ROUND((ABS(MIN(LAT_N)- MAX(LAT_N))+ ABS(MIN(LONG_W)- MAX(LONG_W))), 4)
FROM STATION;"
#45,Medium,Weather Observation Station 19,"SELECT ROUND(SQRT(POWER(MAX(LAT_N) - MIN(LAT_N),2) + POWER(MAX(LONG_W) - MIN(LONG_W),2)),4)
FROM STATION;"
#46,Medium,Weather Observation Station 20,"SELECT t.lat
FROM(
    SELECT ROUND(LAT_N, 4) as lat, 
    ROW_NUMBER() OVER(ORDER BY LAT_N) AS ROW_NUM
    FROM STATION
    ORDER BY ROW_NUM
  ) t
WHERE t.ROW_NUM = CEIL((SELECT COUNT(*) + 1 FROM STATION) / 2);"
